"Isolate","level 1","level 2"
"15335_4#67",2,6
"15335_4#68",2,6
"15335_4#69",3,12
"15335_4#7",2,6
"15335_4#70",4,13
"15335_4#71",1,5
"15335_4#72",2,7
"15335_4#73",6,28
"15335_4#74",1,1
"15335_4#75",11,45
"15335_4#76",3,12
"15335_4#77",2,7
"15335_4#78",11,43
"15335_4#8",11,43
"15335_4#80",5,17
"15335_4#81",11,43
"15335_4#82",6,24
"15335_4#83",6,28
"15335_4#84",1,1
"15335_4#85",11,43
"15335_4#86",9,37
"15335_4#87",11,43
"15335_4#88",2,8
"15335_4#89",11,43
"15335_4#9",15,56
"15335_4#90",1,4
"15335_4#91",11,43
"15335_4#92",11,43
"15335_4#93",11,43
"15335_4#94",6,28
"15335_4#95",11,43
"15335_5#1",2,7
"15335_5#10",5,18
"15335_5#11",2,7
"15335_5#12",3,12
"15335_5#13",7,31
"15335_5#14",3,12
"15335_5#15",15,57
"15335_5#16",5,18
"15335_5#17",3,11
"15335_5#18",3,12
"15335_5#19",3,12
"15335_5#2",10,39
"15335_5#20",3,12
"15335_5#21",4,14
"15335_5#22",8,34
"15335_5#23",3,12
"15335_5#24",3,11
"15335_5#25",5,18
"15335_5#26",5,17
"15335_5#27",5,17
"15335_5#28",5,17
"15335_5#29",3,12
"15335_5#3",6,22
"15335_5#30",3,12
"15335_5#31",3,11
"15335_5#32",3,11
"15335_5#33",5,17
"15335_5#34",3,11
"15335_5#35",10,41
"15335_5#36",7,31
"15335_5#37",5,18
"15335_5#38",5,17
"15335_5#39",3,12
"15335_5#4",15,57
"15335_5#40",3,12
"15335_5#41",5,18
"15335_5#43",3,11
"15335_5#44",10,39
"15335_5#45",5,18
"15335_5#46",5,18
"15335_5#47",3,12
"15335_5#48",6,22
"15335_5#49",3,12
"15335_5#5",4,14
"15335_5#50",3,12
"15335_5#52",6,29
"15335_5#53",5,18
"15335_5#54",8,33
"15335_5#55",5,18
"15335_5#56",3,12
"15335_5#57",5,18
"15335_5#58",5,17
"15335_5#59",3,11
"15335_5#6",3,12
"15335_5#60",3,11
"15335_5#61",3,11
"15335_5#62",5,18
"15335_5#63",7,31
"15335_5#64",3,11
"15335_5#65",3,11
"15335_5#66",3,12
"15335_5#67",3,12
"15335_5#68",3,12
"15335_5#69",5,18
"15335_5#7",6,28
"15335_5#70",5,20
"15335_5#71",5,18
"15335_5#72",1,1
"15335_5#73",3,12
"15335_5#74",1,5
"15335_5#75",1,1
"15335_5#76",1,1
"15335_5#77",1,1
"15335_5#78",5,18
"15335_5#79",5,18
"15335_5#8",10,41
"15335_5#80",3,11
"15335_5#81",3,11
"15335_5#82",1,1
"15335_5#83",1,1
"15335_5#84",1,1
"15335_5#85",6,26
"15335_5#86",3,12
"15335_5#87",2,9
"15335_5#88",3,11
"15335_5#89",3,11
"15335_5#9",3,11
"15335_5#90",1,5
"15335_5#91",12,46
"15335_5#92",7,30
"15335_5#93",7,30
"15335_5#94",7,30
"15335_5#95",1,1
"15335_6#1",1,5
"15335_6#10",9,37
"15335_6#12",1,5
"15335_6#13",6,26
"15335_6#14",3,11
"15335_6#15",9,37
"15335_6#16",15,58
"15335_6#17",9,37
"15335_6#18",1,5
"15335_6#19",3,11
"15335_6#2",3,12
"15335_6#20",5,18
"15335_6#21",1,1
"15335_6#22",2,9
"15335_6#23",7,32
"15335_6#24",1,1
"15335_6#25",1,3
"15335_6#26",1,1
"15335_6#27",1,3
"15335_6#28",1,1
"15335_6#29",1,3
"15335_6#3",9,37
"15335_6#30",1,3
"15335_6#31",1,3
"15335_6#32",1,3
"15335_6#33",1,1
"15335_6#34",1,1
"15335_6#35",1,3
"15335_6#36",1,3
"15335_6#37",1,1
"15335_6#38",1,1
"15335_6#39",1,1
"15335_6#4",9,37
"15335_6#40",1,1
"15335_6#41",1,1
"15335_6#42",6,28
"15335_6#43",1,1
"15335_6#44",1,1
"15335_6#45",3,11
"15335_6#46",1,1
"15335_6#47",3,11
"15335_6#48",7,30
"15335_6#49",3,11
"15335_6#5",6,26
"15335_6#50",1,1
"15335_6#51",3,12
"15335_6#52",5,18
"15335_6#53",15,55
"15335_6#54",3,11
"15335_6#55",3,11
"15335_6#56",3,11
"15335_6#57",9,37
"15335_6#58",3,11
"15335_6#59",9,37
"15335_6#6",9,37
"15335_6#60",11,43
"15335_6#61",5,19
"15335_6#62",11,43
"15335_6#63",5,19
"15335_6#64",2,9
"15335_6#65",2,9
"15335_6#66",14,52
"15335_6#67",3,11
"15335_6#68",1,2
"15335_6#69",7,30
"15335_6#7",6,26
"15335_6#70",3,11
"15335_6#71",15,55
"15335_6#72",11,43
"15335_6#73",2,6
"15335_6#74",1,1
"15335_6#75",1,1
"15335_6#76",11,43
"15335_6#77",1,1
"15335_6#78",11,43
"15335_6#8",5,19
"15335_6#81",11,43
"15335_6#82",11,43
"15335_6#83",11,43
"15335_6#84",1,1
"15335_6#85",3,11
"15335_6#86",11,43
"15335_6#87",9,37
"15335_6#88",1,1
"15335_6#89",1,1
"15335_6#9",14,53
"15335_6#90",11,43
"15335_6#91",11,43
"15335_6#92",6,25
"15335_6#93",11,44
"15335_6#94",11,43
"15335_6#95",11,43
"15335_7#1",5,19
"15335_7#10",11,43
"15335_7#11",4,13
"15335_7#12",11,43
"15335_7#13",1,4
"15335_7#14",11,43
"15335_7#15",11,45
"15335_7#16",11,43
"15335_7#17",2,8
"15335_7#18",4,13
"15335_7#19",11,43
"15335_7#2",12,46
"15335_7#20",1,1
"15335_7#22",2,8
"15335_7#23",2,7
"15335_7#24",12,48
"15335_7#25",11,43
"15335_7#26",11,45
"15335_7#27",15,55
"15335_7#28",11,45
"15335_7#29",11,45
"15335_7#3",1,1
"15335_7#30",11,44
"15335_7#31",5,21
"15335_7#32",11,43
"15335_7#33",11,43
"15335_7#34",11,45
"15335_7#35",5,21
"15335_7#36",11,45
"15335_7#37",11,43
"15335_7#38",11,45
"15335_7#39",4,13
"15335_7#4",11,43
"15335_7#40",4,13
"15335_7#41",9,37
"15335_7#42",6,28
"15335_7#43",11,43
"15335_7#44",4,13
"15335_7#45",11,45
"15335_7#46",1,1
"15335_7#47",1,1
"15335_7#48",11,45
"15335_7#49",4,13
"15335_7#50",11,45
"15335_7#51",9,37
"15335_7#52",6,28
"15335_7#53",11,44
"15335_7#54",12,48
"15335_7#55",1,1
"15335_7#56",11,44
"15335_7#57",11,45
"15335_7#58",10,39
"15335_7#59",1,1
"15335_7#6",11,43
"15335_7#60",1,4
"15335_7#61",1,1
"15335_7#62",1,3
"15335_7#63",1,1
"15335_7#64",1,1
"15335_7#65",1,1
"15335_7#66",1,1
"15335_7#67",1,3
"15335_7#68",1,1
"15335_7#69",1,1
"15335_7#7",6,24
"15335_7#70",1,3
"15335_7#71",2,9
"15335_7#72",2,9
"15335_7#73",1,1
"15335_7#74",1,1
"15335_7#75",1,1
"15335_7#76",1,1
"15335_7#77",1,3
"15335_7#78",1,1
"15335_7#79",1,2
"15335_7#8",11,43
"15335_7#80",1,1
"15335_7#81",1,3
"15335_7#82",1,1
"15335_7#83",1,1
"15335_7#84",1,2
"15335_7#85",1,1
"15335_7#86",1,3
"15335_7#87",15,55
"15335_7#88",1,2
"15335_7#89",1,1
"15335_7#9",11,43
"15335_7#90",1,2
"15335_7#91",1,1
"15335_7#92",1,1
"15335_7#93",1,1
"15335_7#94",1,3
"15335_7#95",1,1
"15841_6#73",2,6
"16043_2#1",1,3
"16043_2#10",1,3
"16043_2#11",1,1
"16043_2#12",1,1
"16043_2#13",1,1
"16043_2#14",1,3
"16043_2#15",1,3
"16043_2#16",1,3
"16043_2#17",6,28
"16043_2#18",1,1
"16043_2#2",1,2
"16043_2#20",1,1
"16043_2#21",7,30
"16043_2#22",1,3
"16043_2#23",1,1
"16043_2#24",2,6
"16043_2#25",12,46
"16043_2#26",2,7
"16043_2#27",4,15
"16043_2#29",5,17
"16043_2#3",1,3
"16043_2#4",1,1
"16043_2#5",1,1
"16043_2#6",1,1
"16043_2#7",1,3
"16043_2#8",1,1
"16043_2#9",1,1
"16228_1#87",1,1
"16228_1#88",1,2
"16228_1#89",1,2
"16228_1#90",1,1
"16228_1#91",1,2
"16228_1#92",1,3
"16228_1#93",2,9
"16228_1#94",5,18
"16228_1#95",1,1
"17150_8#1",6,29
"17150_8#10",6,26
"17150_8#11",6,26
"17150_8#12",13,50
"17150_8#13",4,15
"17150_8#14",3,12
"17150_8#15",8,33
"17150_8#16",3,12
"17150_8#17",4,15
"17150_8#18",3,12
"17150_8#19",3,12
"17150_8#2",7,32
"17150_8#20",3,12
"17150_8#21",3,12
"17150_8#22",6,26
"17150_8#23",3,12
"17150_8#24",3,12
"17150_8#25",3,12
"17150_8#26",3,12
"17150_8#27",3,12
"17150_8#28",3,12
"17150_8#29",3,12
"17150_8#3",4,14
"17150_8#30",3,12
"17150_8#31",4,14
"17150_8#32",3,12
"17150_8#33",6,26
"17150_8#34",3,11
"17150_8#35",3,12
"17150_8#37",12,46
"17150_8#38",10,39
"17150_8#39",2,7
"17150_8#4",4,15
"17150_8#40",7,32
"17150_8#41",4,15
"17150_8#42",7,31
"17150_8#43",10,39
"17150_8#44",7,31
"17150_8#45",7,32
"17150_8#46",3,12
"17150_8#47",6,24
"17150_8#48",6,22
"17150_8#49",4,15
"17150_8#5",15,57
"17150_8#50",3,12
"17150_8#51",3,12
"17150_8#52",3,12
"17150_8#53",12,46
"17150_8#54",4,14
"17150_8#55",6,26
"17150_8#56",3,11
"17150_8#57",3,12
"17150_8#58",3,12
"17150_8#59",3,12
"17150_8#6",7,32
"17150_8#60",5,18
"17150_8#61",3,12
"17150_8#62",3,12
"17150_8#63",3,12
"17150_8#64",3,12
"17150_8#65",3,12
"17150_8#66",6,28
"17150_8#67",10,39
"17150_8#68",4,15
"17150_8#69",12,46
"17150_8#7",6,28
"17150_8#70",6,27
"17150_8#71",13,50
"17150_8#72",4,15
"17150_8#73",10,39
"17150_8#74",12,46
"17150_8#75",2,8
"17150_8#76",2,8
"17150_8#77",2,8
"17150_8#78",2,8
"17150_8#79",2,7
"17150_8#8",3,12
"17150_8#80",2,7
"17150_8#81",12,46
"17150_8#82",2,7
"17150_8#83",12,46
"17150_8#84",12,46
"17150_8#85",4,14
"17150_8#86",2,7
"17150_8#87",6,22
"17150_8#88",6,22
"17150_8#89",6,23
"17150_8#9",15,56
"17150_8#90",6,22
"17150_8#91",4,14
"17176_1#1",9,38
"17176_1#10",15,55
"17176_1#11",10,42
"17176_1#12",6,24
"17176_1#13",11,44
"17176_1#14",1,1
"17176_1#15",7,32
"17176_1#16",9,37
"17176_1#17",11,43
"17176_1#18",11,45
"17176_1#19",12,48
"17176_1#2",12,48
"17176_1#21",3,12
"17176_1#22",11,44
"17176_1#23",7,32
"17176_1#24",1,1
"17176_1#26",11,43
"17176_1#27",11,43
"17176_1#28",11,44
"17176_1#29",11,43
"17176_1#3",11,43
"17176_1#30",5,21
"17176_1#31",15,55
"17176_1#32",2,7
"17176_1#33",15,57
"17176_1#34",8,33
"17176_1#36",7,30
"17176_1#37",10,39
"17176_1#38",3,12
"17176_1#39",6,27
"17176_1#4",13,49
"17176_1#40",6,28
"17176_1#41",7,32
"17176_1#42",3,12
"17176_1#43",12,46
"17176_1#44",3,12
"17176_1#45",6,26
"17176_1#46",6,29
"17176_1#47",6,22
"17176_1#48",4,14
"17176_1#49",12,46
"17176_1#5",11,43
"17176_1#50",3,12
"17176_1#51",5,17
"17176_1#52",3,12
"17176_1#53",5,17
"17176_1#54",3,12
"17176_1#55",15,57
"17176_1#56",3,12
"17176_1#57",6,26
"17176_1#58",7,32
"17176_1#59",4,14
"17176_1#6",5,21
"17176_1#60",7,30
"17176_1#61",4,14
"17176_1#62",4,14
"17176_1#63",4,14
"17176_1#64",7,32
"17176_1#65",7,32
"17176_1#66",4,14
"17176_1#67",7,32
"17176_1#68",6,28
"17176_1#69",7,32
"17176_1#7",6,22
"17176_1#70",4,14
"17176_1#71",13,51
"17176_1#72",6,28
"17176_1#73",4,14
"17176_1#74",6,28
"17176_1#75",15,57
"17176_1#76",6,28
"17176_1#77",7,32
"17176_1#78",4,14
"17176_1#79",6,22
"17176_1#8",13,49
"17176_1#80",4,14
"17176_1#81",4,14
"17176_1#82",13,50
"17176_1#83",15,57
"17176_1#84",6,22
"17176_1#85",6,24
"17176_1#86",4,14
"17176_1#87",7,30
"17176_1#88",4,14
"17176_1#89",4,14
"17176_1#9",12,46
"17176_1#90",6,26
"17176_1#91",3,12
"17225_2#1",3,12
"17225_2#10",2,7
"17225_2#11",3,11
"17225_2#12",6,26
"17225_2#13",3,12
"17225_2#14",12,46
"17225_2#15",12,46
"17225_2#16",12,46
"17225_2#2",4,14
"17225_2#3",3,12
"17225_2#4",3,12
"17225_2#5",15,57
"17225_2#6",3,12
"17225_2#7",10,41
"17225_2#8",2,6
"17225_2#9",10,41
"17225_3#1",4,14
"17225_3#10",2,7
"17225_3#11",6,22
"17225_3#12",2,7
"17225_3#13",4,14
"17225_3#14",4,14
"17225_3#16",4,14
"17225_3#17",4,14
"17225_3#18",12,46
"17225_3#19",2,7
"17225_3#20",2,7
"17225_3#21",6,23
"17225_3#22",4,14
"17225_3#23",2,7
"17225_3#24",4,14
"17225_3#25",4,15
"17225_3#26",2,7
"17225_3#27",8,35
"17225_3#28",2,7
"17225_3#29",4,14
"17225_3#3",2,7
"17225_3#30",12,46
"17225_3#31",4,14
"17225_3#32",10,39
"17225_3#33",7,32
"17225_3#34",6,29
"17225_3#35",4,15
"17225_3#36",12,46
"17225_3#37",12,46
"17225_3#38",2,7
"17225_3#39",2,7
"17225_3#4",6,23
"17225_3#40",2,7
"17225_3#41",12,46
"17225_3#42",2,7
"17225_3#43",12,46
"17225_3#44",12,46
"17225_3#45",12,46
"17225_3#46",4,14
"17225_3#47",10,39
"17225_3#49",12,46
"17225_3#5",2,7
"17225_3#50",2,7
"17225_3#51",2,7
"17225_3#52",2,6
"17225_3#53",2,7
"17225_3#54",13,50
"17225_3#55",13,50
"17225_3#56",13,50
"17225_3#57",4,15
"17225_3#58",2,7
"17225_3#59",2,7
"17225_3#6",4,14
"17225_3#60",2,7
"17225_3#61",2,7
"17225_3#62",2,7
"17225_3#63",2,7
"17225_3#64",4,13
"17225_3#65",4,13
"17225_3#66",4,13
"17225_3#67",2,6
"17225_3#68",7,31
"17225_3#69",4,14
"17225_3#7",4,14
"17225_3#70",7,31
"17225_3#71",3,12
"17225_3#72",2,6
"17225_3#73",8,33
"17225_3#74",2,7
"17225_3#75",2,7
"17225_3#76",2,7
"17225_3#77",2,7
"17225_3#78",2,7
"17225_3#8",10,39
"17225_3#80",4,14
"17225_3#81",4,15
"17225_3#82",3,11
"17225_3#83",12,46
"17225_3#84",12,46
"17225_3#85",3,12
"17225_3#86",4,13
"17225_3#87",3,11
"17225_3#88",12,46
"17225_3#89",8,33
"17225_3#9",2,7
"17225_3#90",12,46
"17225_3#91",4,14
"8289_2#1",1,1
"8289_2#10",2,10
"8289_2#12",7,30
"8289_2#14",7,30
"8289_2#17",1,1
"8289_2#18",11,43
"8289_2#19",1,1
"8289_2#2",3,11
"8289_2#20",3,12
"8289_2#21",1,1
"8289_2#22",5,18
"8289_2#23",1,3
"8289_2#24",6,28
"8289_2#26",5,17
"8289_2#27",1,1
"8289_2#28",1,5
"8289_2#3",1,1
"8289_2#30",1,5
"8289_2#31",1,1
"8289_2#32",5,18
"8289_2#33",1,1
"8289_2#34",6,28
"8289_2#35",1,1
"8289_2#36",3,11
"8289_2#37",1,1
"8289_2#38",11,43
"8289_2#39",1,1
"8289_2#4",3,11
"8289_2#40",6,28
"8289_2#41",1,1
"8289_2#42",3,12
"8289_2#43",1,1
"8289_2#44",5,18
"8289_2#45",1,1
"8289_2#46",1,1
"8289_2#47",1,1
"8289_2#49",1,1
"8289_2#5",1,1
"8289_2#50",10,39
"8289_2#51",1,1
"8289_2#52",3,12
"8289_2#53",1,1
"8289_2#54",3,12
"8289_2#55",1,1
"8289_2#56",5,17
"8289_2#57",1,1
"8289_2#58",3,11
"8289_2#59",1,1
"8289_2#6",3,11
"8289_2#60",5,18
"8289_2#62",2,7
"8289_2#63",1,1
"8289_2#64",7,31
"8289_2#65",1,1
"8289_2#66",1,5
"8289_2#67",1,1
"8289_2#68",1,5
"8289_2#69",1,1
"8289_2#7",1,1
"8289_2#70",3,11
"8289_2#71",2,9
"8289_2#72",6,27
"8289_2#73",2,9
"8289_2#74",6,28
"8289_2#75",1,1
"8289_2#76",1,5
"8289_2#77",1,1
"8289_2#78",5,18
"8289_2#79",1,1
"8289_2#8",14,54
"8289_2#80",3,12
"8289_2#81",1,1
"8289_2#82",6,28
"8289_2#83",11,45
"8289_2#84",11,45
"8289_2#85",1,3
"8289_2#86",3,12
"8289_2#87",1,1
"8289_2#88",1,1
"8289_2#89",1,1
"8289_2#9",2,7
"8289_2#90",14,52
"8289_2#91",1,1
"8289_2#92",2,7
"8289_2#93",1,1
"8289_2#94",3,12
"8289_2#95",1,1
"8289_2#96",11,43
"8727_5#43",2,9
"8727_5#44",3,11
"8727_5#45",1,1
"8727_5#46",3,12
"8727_5#47",2,9
"8727_5#48",11,43
"8727_5#49",2,9
"8727_5#50",6,22
"8727_5#51",2,9
"8727_5#52",11,43
"8727_5#53",2,9
"8727_5#54",11,43
"8727_5#55",1,1
"8727_5#56",5,20
"8727_5#57",2,9
"8727_5#58",6,26
"8727_5#59",2,9
"8727_5#60",14,52
"8727_5#61",2,9
"8727_5#62",14,52
"8727_5#63",2,9
"8727_5#64",3,12
"8727_5#65",2,9
"8727_5#66",14,52
"8727_5#67",2,9
"8727_5#68",11,43
"8727_5#69",2,9
"8727_5#70",3,12
"8727_5#71",2,9
"8727_5#73",2,9
"8727_5#74",11,43
"8727_5#75",2,9
"8727_5#76",11,43
"8727_5#77",1,1
"8727_5#78",11,45
"8727_5#79",1,1
"8727_5#80",11,43
"8727_5#81",1,1
"8727_5#82",3,11
"8727_5#83",1,1
"8727_5#84",3,11
"8727_5#85",1,3
"8727_5#86",3,11
"8727_5#87",1,1
"8727_5#88",3,11
"8727_5#90",5,20
"8727_5#91",1,1
"8727_5#92",1,1
"8727_8#1",1,1
"8727_8#10",2,7
"8727_8#11",1,1
"8727_8#12",3,11
"8727_8#13",1,1
"8727_8#14",11,43
"8727_8#15",1,1
"8727_8#17",1,1
"8727_8#18",1,5
"8727_8#19",1,1
"8727_8#2",11,43
"8727_8#20",5,20
"8727_8#21",1,2
"8727_8#22",11,43
"8727_8#23",1,2
"8727_8#24",11,43
"8727_8#25",1,1
"8727_8#26",3,11
"8727_8#27",1,1
"8727_8#28",1,1
"8727_8#29",1,1
"8727_8#3",3,11
"8727_8#30",11,43
"8727_8#31",1,1
"8727_8#32",11,43
"8727_8#33",1,1
"8727_8#34",3,11
"8727_8#35",1,1
"8727_8#36",3,12
"8727_8#38",5,18
"8727_8#39",1,1
"8727_8#4",7,30
"8727_8#40",11,43
"8727_8#41",1,1
"8727_8#42",11,43
"8727_8#43",1,1
"8727_8#45",1,1
"8727_8#46",4,14
"8727_8#47",1,1
"8727_8#48",2,10
"8727_8#49",1,1
"8727_8#5",1,1
"8727_8#50",14,52
"8727_8#51",1,1
"8727_8#53",2,9
"8727_8#54",15,58
"8727_8#55",1,2
"8727_8#56",3,11
"8727_8#57",2,9
"8727_8#59",1,1
"8727_8#6",1,1
"8727_8#60",11,43
"8727_8#61",1,1
"8727_8#62",3,11
"8727_8#64",1,5
"8727_8#65",2,9
"8727_8#66",12,48
"8727_8#67",1,1
"8727_8#68",5,20
"8727_8#69",1,1
"8727_8#7",1,1
"8727_8#70",1,5
"8727_8#71",2,9
"8727_8#72",5,18
"8727_8#73",2,9
"8727_8#74",5,18
"8727_8#75",2,9
"8727_8#76",7,32
"8727_8#77",2,9
"8727_8#78",11,43
"8727_8#79",2,9
"8727_8#8",1,1
"8727_8#80",11,43
"8727_8#81",1,1
"8727_8#82",1,5
"8727_8#83",1,1
"8727_8#84",14,52
"8727_8#85",1,1
"8727_8#86",3,12
"8727_8#87",1,1
"8727_8#88",6,26
"8727_8#89",1,1
"8727_8#9",1,1
"8727_8#90",14,52
"8727_8#91",1,1
"8727_8#92",14,52
"8727_8#93",1,1
"8727_8#94",5,18
"8727_8#95",2,9
"8727_8#96",11,43
"9716_3#43",15,57
"9716_3#44",15,57
"9716_3#45",7,30
"9716_3#90",6,26
