Isolate,level 1,level 2
14355_5#27,4,17
14355_5#28,4,16
14355_5#29,3,14
14355_5#3,5,20
14355_5#30,4,17
14355_5#31,1,1
14355_5#32,8,32
14355_5#33,3,12
14355_5#34,13,56
14355_5#35,2,7
14355_5#36,2,8
14355_5#37,2,7
14355_5#38,3,14
14355_5#39,2,8
14355_5#4,3,14
14355_5#40,6,24
14355_5#41,5,19
14355_5#42,2,7
14355_5#43,2,7
14355_5#44,3,12
14355_5#45,3,12
14355_5#46,3,14
14355_5#47,1,2
14355_5#48,2,7
14355_5#49,2,8
14355_5#5,5,20
14355_5#50,2,7
14355_5#51,1,1
14355_5#52,2,8
14355_5#53,2,7
14355_5#54,3,12
14355_5#55,1,1
14355_5#56,4,17
14355_5#57,2,8
14355_5#58,2,8
14355_5#59,13,56
14355_5#6,1,2
14355_5#60,3,12
14355_5#61,10,44
14355_5#62,13,56
14355_5#63,8,32
14355_5#64,2,7
14355_5#65,1,1
14355_5#66,2,7
14355_5#67,2,7
14355_5#68,14,62
14355_5#69,3,12
14355_5#7,10,45
14355_5#70,2,7
14355_5#71,1,1
14355_5#72,3,12
14355_5#73,2,8
14355_5#74,3,12
14355_5#75,14,63
14355_5#76,5,19
14355_5#77,3,12
14355_5#78,5,19
14355_5#79,4,17
14355_5#8,8,32
14355_5#80,2,7
14355_5#81,3,14
14355_5#82,13,56
14355_5#83,5,19
14355_5#84,2,7
14355_5#85,3,14
14355_5#86,3,14
14355_5#87,3,12
14355_5#88,1,3
14355_5#89,1,3
14355_5#9,4,17
14355_5#90,2,7
14355_5#91,3,12
14355_5#92,1,4
14355_5#93,3,12
14355_5#94,1,5
14355_5#95,8,32
14355_6#1,3,14
14355_6#10,1,5
14355_6#11,2,7
14355_6#12,1,1
14355_6#13,3,12
14355_6#14,3,12
14355_6#15,8,32
14355_6#16,2,8
14355_6#17,3,14
14355_6#18,13,56
14355_6#19,3,14
14355_6#2,1,2
14355_6#20,3,14
14355_6#21,3,12
14355_6#22,4,16
14355_6#23,3,12
14355_6#24,3,14
14355_6#25,3,14
14355_6#27,14,61
14355_6#28,3,14
14355_6#29,13,56
14355_6#3,2,8
14355_6#30,3,14
14355_6#31,12,51
14355_6#32,3,14
14355_6#33,3,14
14355_6#34,4,17
14355_6#35,3,13
14355_6#36,3,11
14355_6#37,7,29
14355_6#38,3,12
14355_6#39,3,14
14355_6#4,3,14
14355_6#40,3,12
14355_6#41,3,14
14355_6#42,3,14
14355_6#43,2,7
14355_6#44,3,12
14355_6#45,3,14
14355_6#46,4,17
14355_6#47,5,19
14355_6#48,3,14
14355_6#49,10,42
14355_6#5,3,14
14355_6#50,13,54
14355_6#51,13,56
14355_6#52,2,7
14355_6#53,6,24
14355_6#54,6,25
14355_6#55,2,7
14355_6#56,11,47
14355_6#57,2,7
14355_6#58,2,7
14355_6#59,1,1
14355_6#6,3,14
14355_6#60,2,7
14355_6#61,2,8
14355_6#62,11,47
14355_6#63,8,34
14355_6#64,1,1
14355_6#65,1,1
14355_6#66,3,12
14355_6#68,8,32
14355_6#69,2,8
14355_6#7,6,26
14355_6#70,1,6
14355_6#71,15,65
14355_6#72,2,7
14355_6#73,1,2
14355_6#74,15,66
14355_6#75,4,16
14355_6#76,1,1
14355_6#77,2,7
14355_6#78,2,8
14355_6#79,12,53
14355_6#8,4,16
14355_6#80,11,47
14355_6#81,5,19
14355_6#82,6,24
14355_6#83,2,8
14355_6#84,8,32
14355_6#85,14,61
14355_6#86,4,17
14355_6#87,5,19
14355_6#88,10,42
14355_6#89,4,17
14355_6#9,1,2
14355_6#90,1,4
14355_6#91,13,54
14355_6#92,7,29
14355_6#93,6,24
14355_6#94,2,7
14355_6#95,1,4
14355_7#1,13,55
14355_7#10,3,12
14355_7#11,3,12
14355_7#12,3,12
14355_7#13,2,8
14355_7#14,2,8
14355_7#15,2,7
14355_7#16,2,7
14355_7#17,2,7
14355_7#18,2,7
14355_7#19,2,7
14355_7#2,13,55
14355_7#20,5,19
14355_7#21,5,19
14355_7#22,1,4
14355_7#23,1,4
14355_7#24,1,4
14355_7#25,3,12
14355_7#26,3,12
14355_7#27,3,12
14355_7#28,3,12
14355_7#29,1,1
14355_7#3,1,1
14355_7#30,1,1
14355_7#31,6,28
14355_7#32,6,28
14355_7#33,6,28
14355_7#34,6,28
14355_7#35,2,8
14355_7#36,2,8
14355_7#37,2,8
14355_7#38,3,11
14355_7#39,3,11
14355_7#4,1,1
14355_7#40,13,55
14355_7#41,13,55
14355_7#42,13,55
14355_7#43,2,7
14355_7#44,2,7
14355_7#45,1,1
14355_7#46,1,1
14355_7#47,1,2
14355_7#48,1,2
14355_7#49,1,2
14355_7#5,1,1
14355_7#50,10,46
14355_7#51,10,46
14355_7#52,10,46
14355_7#53,2,8
14355_7#54,2,8
14355_7#55,2,8
14355_7#56,2,7
14355_7#57,2,7
14355_7#58,2,8
14355_7#59,2,8
14355_7#6,3,12
14355_7#60,2,8
14355_7#61,6,25
14355_7#63,2,7
14355_7#64,2,7
14355_7#65,2,7
14355_7#66,5,19
14355_7#67,5,19
14355_7#68,4,16
14355_7#69,4,16
14355_7#7,3,12
14355_7#70,1,1
14355_7#71,1,1
14355_7#72,10,41
14355_7#73,10,41
14355_7#74,2,8
14355_7#75,2,8
14355_7#76,2,8
14355_7#77,1,1
14355_7#78,1,1
14355_7#79,3,14
14355_7#8,3,12
14355_7#80,3,14
14355_7#81,7,29
14355_7#82,7,29
14355_7#83,1,4
14355_7#84,1,4
14355_7#85,4,18
14355_7#86,4,18
14355_7#87,4,18
14355_7#88,2,7
14355_7#89,2,7
14355_7#9,3,12
14355_7#90,2,7
14355_7#91,2,7
14355_7#92,2,7
14355_7#93,2,7
14355_7#94,2,7
14355_7#95,2,7
14355_8#1,2,7
14355_8#10,10,44
14355_8#11,2,7
14355_8#12,2,7
14355_8#13,2,7
14355_8#14,2,8
14355_8#15,2,8
14355_8#16,2,8
14355_8#17,2,8
14355_8#18,2,8
14355_8#19,4,17
14355_8#2,2,8
14355_8#20,4,17
14355_8#21,4,17
14355_8#22,4,16
14355_8#23,4,16
14355_8#24,4,17
14355_8#25,4,17
14355_8#26,1,4
14355_8#27,1,4
14355_8#28,1,4
14355_8#29,2,7
14355_8#3,2,8
14355_8#30,2,7
14355_8#31,10,42
14355_8#32,10,42
14355_8#33,7,29
14355_8#34,7,29
14355_8#4,2,8
14355_8#5,10,45
14355_8#6,10,45
14355_8#7,10,45
14355_8#8,10,44
14355_8#9,10,44
14555_5#1,8,32
14555_5#10,1,4
14555_5#11,3,13
14555_5#12,3,11
14555_5#13,1,4
14555_5#14,2,7
14555_5#15,1,1
14555_5#16,1,1
14555_5#17,3,12
14555_5#18,2,8
14555_5#19,8,34
14555_5#2,4,17
14555_5#20,13,56
14555_5#21,2,8
14555_5#22,2,8
14555_5#23,2,8
14555_5#24,1,2
14555_5#25,4,17
14555_5#26,3,13
14555_5#27,3,12
14555_5#28,10,44
14555_5#29,3,14
14555_5#3,3,11
14555_5#30,3,14
14555_5#31,8,32
14555_5#32,3,14
14555_5#33,4,16
14555_5#34,2,7
14555_5#35,4,17
14555_5#36,1,4
14555_5#37,5,20
14555_5#38,3,14
14555_5#39,10,45
14555_5#4,1,1
14555_5#40,8,32
14555_5#41,4,16
14555_5#42,4,16
14555_5#43,1,2
14555_5#44,3,14
14555_5#45,4,17
14555_5#46,2,8
14555_5#47,3,12
14555_5#48,4,16
14555_5#49,1,1
14555_5#5,2,8
14555_5#50,3,12
14555_5#51,13,56
14555_5#52,2,8
14555_5#53,2,8
14555_5#54,6,24
14555_5#55,2,7
14555_5#56,2,7
14555_5#57,3,12
14555_5#58,3,12
14555_5#59,3,14
14555_5#6,2,7
14555_5#60,2,7
14555_5#61,2,8
14555_5#62,1,1
14555_5#63,4,17
14555_5#64,2,8
14555_5#65,13,56
14555_5#66,3,12
14555_5#67,13,56
14555_5#68,2,7
14555_5#69,2,8
14555_5#7,2,7
14555_5#70,5,19
14555_5#71,2,7
14555_5#72,3,14
14555_5#73,3,14
14555_5#74,1,3
14555_5#75,3,12
14555_5#76,3,12
14555_5#77,1,5
14555_5#78,3,14
14555_5#79,3,14
14555_5#8,3,11
14555_5#80,3,14
14555_5#81,6,26
14555_5#82,1,5
14555_5#83,1,1
14555_5#84,3,12
14555_5#85,3,12
14555_5#86,3,14
14555_5#87,3,12
14555_5#88,3,14
14555_5#89,13,56
14555_5#9,11,47
14555_5#90,3,14
14555_5#91,4,17
14555_5#92,3,12
14555_5#93,3,14
14555_5#94,3,14
14555_5#95,10,42
14555_6#1,13,54
14555_6#10,15,66
14555_6#11,1,1
14555_6#12,2,8
14555_6#13,12,53
14555_6#14,11,47
14555_6#15,4,17
14555_6#16,13,54
14555_6#17,7,29
14555_6#18,1,4
14555_6#19,1,1
14555_6#2,13,56
14555_6#20,3,10
14555_6#21,4,17
14555_6#22,3,10
14555_6#23,1,1
14555_6#24,7,29
14555_6#25,1,1
14555_6#26,4,17
14555_6#27,2,8
14555_6#28,1,2
14555_6#29,7,29
14555_6#3,11,47
14555_6#30,4,16
14555_6#31,1,1
14555_6#32,1,4
14555_6#33,1,1
14555_6#34,7,29
14555_6#35,4,17
14555_6#36,2,9
14555_6#37,2,9
14555_6#38,2,9
14555_6#39,9,36
14555_6#4,2,7
14555_6#40,10,40
14555_6#41,1,1
14555_6#42,8,33
14555_6#43,1,5
14555_6#44,9,37
14555_6#45,2,7
14555_6#46,12,51
14555_6#47,1,1
14555_6#48,11,47
14555_6#49,9,36
14555_6#5,8,34
14555_6#50,4,17
14555_6#51,4,17
14555_6#52,2,8
14555_6#53,2,8
14555_6#54,10,42
14555_6#55,4,16
14555_6#56,4,16
14555_6#57,4,17
14555_6#58,2,8
14555_6#59,2,8
14555_6#6,1,1
14555_6#60,3,12
14555_6#61,3,12
14555_6#62,4,16
14555_6#63,1,4
14555_6#64,13,57
14555_6#65,13,57
14555_6#66,5,21
14555_6#67,5,21
14555_6#68,13,57
14555_6#69,13,57
14555_6#7,1,1
14555_6#70,13,57
14555_6#71,13,58
14555_6#72,13,58
14555_6#73,13,58
14555_6#74,13,59
14555_6#75,13,59
14555_6#76,13,57
14555_6#77,13,57
14555_6#78,13,57
14555_6#79,2,8
14555_6#8,2,8
14555_6#80,2,8
14555_6#81,9,39
14555_6#82,9,39
14555_6#83,9,39
14555_6#84,11,50
14555_6#85,11,50
14555_6#86,8,35
14555_6#87,8,35
14555_6#88,2,7
14555_6#89,2,7
14555_6#9,15,65
14555_6#90,2,7
14555_6#91,5,23
14555_6#92,5,23
14555_6#93,3,15
14555_6#94,3,15
14555_6#95,3,15
14672_1#1,2,8
14672_1#10,4,16
14672_1#11,2,8
14672_1#12,8,32
14672_1#13,4,17
14672_1#14,2,7
14672_1#15,2,7
14672_1#16,8,32
14672_1#17,2,8
14672_1#18,6,24
14672_1#19,1,4
14672_1#2,14,61
14672_1#20,4,17
14672_1#21,3,11
14672_1#22,4,16
14672_1#23,4,17
14672_1#24,4,17
14672_1#25,2,7
14672_1#26,4,17
14672_1#27,1,1
14672_1#28,4,16
14672_1#29,2,7
14672_1#3,2,8
14672_1#30,2,8
14672_1#31,2,7
14672_1#32,2,7
14672_1#33,10,42
14672_1#34,1,4
14672_1#35,2,7
14672_1#36,10,42
14672_1#37,5,22
14672_1#38,3,11
14672_1#39,11,47
14672_1#4,1,1
14672_1#40,1,4
14672_1#41,3,13
14672_1#42,3,11
14672_1#43,1,4
14672_1#44,2,7
14672_1#45,1,2
14672_1#46,3,14
14672_1#47,8,32
14672_1#48,1,1
14672_1#5,4,16
14672_1#50,2,7
14672_1#51,1,2
14672_1#52,1,1
14672_1#53,1,1
14672_1#54,1,1
14672_1#55,3,12
14672_1#56,2,8
14672_1#57,8,34
14672_1#58,13,56
14672_1#59,4,16
14672_1#6,2,8
14672_1#60,1,2
14672_1#61,2,8
14672_1#62,3,13
14672_1#63,10,44
14672_1#64,4,17
14672_1#65,2,8
14672_1#66,15,64
14672_1#67,4,17
14672_1#68,1,2
14672_1#69,2,8
14672_1#7,4,16
14672_1#71,2,8
14672_1#72,6,27
14672_1#74,4,16
14672_1#75,4,17
14672_1#76,3,13
14672_1#77,3,12
14672_1#78,10,44
14672_1#79,3,14
14672_1#8,4,17
14672_1#80,5,19
14672_1#81,3,14
14672_1#82,2,7
14672_1#83,1,3
14672_1#84,2,8
14672_1#85,2,8
14672_1#86,2,7
14672_1#87,2,8
14672_1#88,8,32
14672_1#89,2,7
14672_1#9,2,7
14672_1#90,8,32
14672_1#91,3,14
14672_1#92,1,5
14672_1#93,4,16
14672_1#94,2,7
14672_1#95,4,17
14893_3#67,3,11
14893_3#68,1,2
14893_3#69,8,32
14893_3#70,1,1
