Isolates,Level 1
11658_6#37,6
11658_6#38,21
11658_6#39,19
11658_6#4,20
11658_6#40,18
11658_6#41,19
11658_6#42,3
11658_6#43,19
11658_6#44,16
11658_6#45,16
11658_6#47,3
11658_6#48,8
11658_6#49,5
11658_6#5,20
11658_6#50,20
11658_6#51,20
11658_6#52,2
11658_6#53,19
11658_6#54,20
11658_6#55,16
11658_6#56,18
11658_6#57,20
11658_6#58,2
11658_6#59,16
11658_6#6,6
11658_6#60,16
11658_6#61,7
11658_6#62,20
11658_6#63,19
11658_6#64,19
11658_6#65,20
11658_6#66,6
11658_6#67,18
11658_6#68,17
11658_6#69,16
11658_6#7,2
11658_6#70,7
11658_6#71,16
11658_6#72,21
11658_6#73,19
11658_6#74,20
11658_6#75,8
11658_6#76,13
11658_6#77,23
11658_6#78,7
11658_6#79,23
11658_6#8,20
11658_6#80,18
11658_6#81,19
11658_6#82,19
11658_6#83,18
11658_6#84,15
11658_6#85,13
11658_6#86,18
11658_6#87,4
11658_6#88,19
11658_6#89,20
11658_6#9,20
11658_6#90,20
11658_6#91,19
11658_6#92,19
11658_6#93,17
11658_6#94,20
11658_6#95,20
11658_6#96,2
11658_7#1,18
11658_7#10,9
11658_7#11,17
11658_7#13,10
11658_7#14,16
11658_7#15,19
11658_7#16,19
11658_7#17,19
11658_7#18,18
11658_7#19,20
11658_7#2,13
11658_7#20,23
11658_7#21,6
11658_7#22,20
11658_7#23,19
11658_7#24,11
11658_7#25,2
11658_7#26,19
11658_7#27,18
11658_7#28,4
11658_7#29,18
11658_7#3,3
11658_7#30,19
11658_7#31,7
11658_7#32,2
11658_7#33,19
11658_7#34,3
11658_7#35,20
11658_7#36,20
11658_7#39,18
11658_7#4,9
11658_7#40,2
11658_7#41,1
11658_7#42,18
11658_7#43,1
11658_7#44,23
11658_7#45,11
11658_7#46,16
11658_7#47,20
11658_7#48,18
11658_7#49,18
11658_7#5,20
11658_7#50,20
11658_7#51,2
11658_7#52,19
11658_7#53,24
11658_7#54,22
11658_7#55,20
11658_7#56,22
11658_7#57,19
11658_7#58,20
11658_7#59,13
11658_7#6,3
11658_7#60,13
11658_7#62,20
11658_7#63,16
11658_7#64,19
11658_7#65,19
11658_7#66,13
11658_7#67,19
11658_7#68,18
11658_7#69,6
11658_7#7,19
11658_7#70,18
11658_7#71,19
11658_7#72,1
11658_7#73,18
11658_7#74,4
11658_7#75,8
11658_7#76,3
11658_7#77,16
11658_7#78,19
11658_7#79,17
11658_7#8,19
11658_7#80,5
11658_7#81,18
11658_7#82,20
11658_7#83,10
11658_7#84,18
11658_7#85,1
11658_7#86,19
11658_7#87,20
11658_7#88,18
11658_7#89,18
11658_7#9,20
11658_7#90,19
11658_7#91,2
11658_7#92,20
11658_7#93,19
11658_7#94,4
11658_7#95,20
11658_7#96,1
11658_8#24,16
11658_8#25,23
11658_8#26,3
11658_8#27,19
11658_8#28,20
11658_8#29,4
11658_8#30,24
11658_8#31,20
11658_8#32,9
11658_8#33,5
11658_8#34,20
11658_8#35,20
11658_8#36,22
11658_8#37,18
11658_8#38,20
11658_8#39,7
11658_8#40,23
11658_8#41,18
11658_8#42,23
11658_8#43,20
11658_8#44,23
11658_8#45,10
11658_8#46,18
11658_8#47,18
11658_8#48,18
11658_8#49,23
11658_8#50,5
11658_8#51,9
11658_8#52,5
11658_8#53,17
11658_8#54,18
11658_8#55,19
11658_8#56,16
11658_8#57,3
11658_8#58,21
11658_8#59,20
11658_8#60,11
11658_8#61,20
11658_8#62,20
11658_8#63,20
11658_8#64,19
11658_8#65,18
11658_8#66,5
11658_8#67,5
11658_8#68,1
11658_8#69,18
11658_8#70,12
11658_8#71,2
11658_8#72,18
11658_8#73,18
11658_8#74,8
11658_8#75,3
11658_8#76,20
11658_8#77,2
11658_8#78,19
11658_8#79,7
11658_8#80,12
11658_8#81,11
11658_8#82,10
11658_8#83,20
11658_8#84,19
11658_8#85,19
11658_8#86,18
11658_8#87,20
11658_8#88,23
11658_8#89,20
11658_8#90,23
11658_8#91,18
11658_8#92,19
11658_8#93,19
11658_8#94,5
11658_8#95,16
11658_8#96,1
11679_4#1,24
11679_4#10,1
11679_4#11,18
11679_4#12,20
11679_4#13,5
11679_4#14,17
11679_4#15,18
11679_4#16,20
11679_4#17,23
11679_4#18,17
11679_4#19,23
11679_4#2,20
11679_4#20,9
11679_4#21,18
11679_4#22,13
11679_4#23,7
11679_4#24,8
11679_4#25,20
11679_4#26,20
11679_4#27,7
11679_4#28,22
11679_4#29,18
11679_4#3,20
11679_4#30,17
11679_4#31,21
11679_4#32,19
11679_4#33,8
11679_4#34,24
11679_4#35,19
11679_4#36,18
11679_4#37,17
11679_4#38,20
11679_4#39,19
11679_4#4,19
11679_4#40,19
11679_4#41,20
11679_4#42,20
11679_4#43,22
11679_4#44,19
11679_4#45,18
11679_4#46,16
11679_4#47,21
11679_4#48,18
11679_4#49,20
11679_4#5,18
11679_4#50,7
11679_4#52,19
11679_4#53,19
11679_4#54,19
11679_4#55,20
11679_4#56,19
11679_4#57,20
11679_4#58,19
11679_4#59,13
11679_4#6,14
11679_4#60,18
11679_4#61,9
11679_4#62,19
11679_4#63,18
11679_4#64,7
11679_4#65,3
11679_4#66,19
11679_4#67,15
11679_4#68,6
11679_4#69,20
11679_4#7,20
11679_4#70,22
11679_4#71,20
11679_4#72,18
11679_4#73,3
11679_4#74,6
11679_4#75,20
11679_4#76,2
11679_4#77,18
11679_4#78,12
11679_4#79,16
11679_4#8,19
11679_4#80,22
11679_4#81,23
11679_4#82,20
11679_4#83,20
11679_4#84,21
11679_4#85,20
11679_4#86,20
11679_4#87,3
11679_4#88,18
11679_4#89,19
11679_4#9,20
11679_4#90,18
11679_4#91,19
11679_4#92,19
11679_4#93,15
11679_4#94,20
11679_4#95,19
11679_4#96,20
11679_5#1,15
11679_5#10,2
11679_5#11,20
11679_5#12,19
11679_5#13,16
11679_5#14,22
11679_5#15,20
11679_5#16,1
11679_5#17,20
11679_5#18,20
11679_5#19,20
11679_5#2,19
11679_5#20,14
11679_5#21,16
11679_5#22,8
11679_5#23,8
11679_5#24,12
11679_5#25,6
11679_5#26,20
11679_5#27,16
11679_5#28,16
11679_5#29,18
11679_5#3,18
11679_5#30,1
11679_5#31,20
11679_5#32,20
11679_5#33,19
11679_5#34,3
11679_5#35,2
11679_5#36,13
11679_5#37,18
11679_5#38,18
11679_5#39,18
11679_5#4,3
11679_5#40,21
11679_5#41,14
11679_5#42,1
11679_5#43,9
11679_5#44,19
11679_5#45,21
11679_5#46,23
11679_5#47,20
11679_5#48,2
11679_5#49,5
11679_5#5,20
11679_5#50,14
11679_5#51,1
11679_5#52,3
11679_5#53,1
11679_5#54,1
11679_5#55,18
11679_5#56,2
11679_5#57,19
11679_5#58,3
11679_5#59,2
11679_5#6,14
11679_5#60,22
11679_5#61,13
11679_5#62,1
11679_5#63,12
11679_5#64,20
11679_5#65,20
11679_5#66,3
11679_5#67,11
11679_5#68,13
11679_5#69,8
11679_5#7,21
11679_5#70,16
11679_5#71,14
11679_5#72,6
11679_5#73,17
11679_5#74,12
11679_5#75,22
11679_5#76,3
11679_5#77,19
11679_5#78,13
11679_5#79,14
11679_5#8,23
11679_5#80,19
11679_5#81,20
11679_5#82,20
11679_5#83,18
11679_5#84,18
11679_5#85,8
11679_5#86,18
11679_5#87,5
11679_5#88,22
11679_5#89,23
11679_5#9,18
11679_5#90,19
11679_5#91,18
11679_5#92,7
11679_5#93,3
11679_5#94,19
11679_5#95,3
11679_5#96,18
11679_6#1,20
11679_6#10,3
11679_6#11,16
11679_6#12,20
11679_6#13,21
11679_6#14,17
11679_6#15,13
11679_6#18,20
11679_6#19,24
11679_6#2,4
11679_6#20,16
11679_6#21,10
11679_6#22,20
11679_6#23,20
11679_6#24,24
11679_6#25,13
11679_6#26,18
11679_6#27,18
11679_6#28,20
11679_6#29,18
11679_6#3,18
11679_6#30,19
11679_6#31,23
11679_6#32,20
11679_6#33,23
11679_6#34,20
11679_6#35,9
11679_6#36,18
11679_6#37,1
11679_6#38,20
11679_6#39,20
11679_6#4,3
11679_6#40,18
11679_6#41,21
11679_6#42,18
11679_6#43,20
11679_6#44,18
11679_6#45,19
11679_6#46,5
11679_6#47,2
11679_6#48,1
11679_6#49,19
11679_6#5,4
11679_6#50,18
11679_6#51,12
11679_6#52,3
11679_6#53,16
11679_6#54,18
11679_6#55,20
11679_6#56,17
11679_6#57,4
11679_6#58,1
11679_6#59,19
11679_6#60,18
11679_6#61,20
11679_6#62,5
11679_6#63,17
11679_6#64,13
11679_6#65,18
11679_6#66,10
11679_6#67,20
11679_6#68,24
11679_6#69,18
11679_6#7,19
11679_6#70,3
11679_6#71,2
11679_6#72,13
11679_6#73,2
11679_6#74,18
11679_6#75,3
11679_6#76,22
11679_6#77,22
11679_6#78,21
11679_6#79,3
11679_6#8,16
11679_6#80,13
11679_6#81,20
11679_6#82,3
11679_6#83,9
11679_6#84,20
11679_6#85,20
11679_6#86,16
11679_6#87,21
11679_6#88,22
11679_6#89,12
11679_6#9,3
11679_6#90,3
11679_6#91,8
11679_6#92,1
11679_6#93,19
11679_6#94,19
11679_6#95,19
11679_6#96,23
11679_7#1,18
11679_7#10,21
11679_7#11,20
11679_7#12,19
11679_7#13,15
11679_7#14,9
11679_7#15,17
11679_7#16,18
11679_7#17,15
11679_7#18,23
11679_7#19,22
11679_7#2,23
11679_7#20,24
11679_7#21,20
11679_7#22,20
11679_7#23,10
11679_7#24,9
11679_7#26,19
11679_7#27,14
11679_7#28,14
11679_7#29,13
11679_7#30,22
11679_7#31,21
11679_7#32,3
11679_7#34,17
11679_7#35,18
11679_7#36,20
11679_7#37,3
11679_7#38,23
11679_7#39,4
11679_7#4,23
11679_7#40,18
11679_7#41,7
11679_7#42,19
11679_7#43,5
11679_7#44,19
11679_7#45,5
11679_7#46,18
11679_7#47,20
11679_7#48,18
11679_7#49,7
11679_7#5,19
11679_7#50,20
11679_7#51,16
11679_7#52,16
11679_7#53,24
11679_7#54,19
11679_7#55,18
11679_7#56,2
11679_7#57,18
11679_7#58,19
11679_7#59,20
11679_7#6,18
11679_7#60,20
11679_7#61,24
11679_7#62,23
11679_7#63,20
11679_7#64,11
11679_7#65,13
11679_7#66,6
11679_7#67,23
11679_7#68,16
11679_7#69,14
11679_7#70,19
11679_7#71,20
11679_7#72,20
11679_7#73,21
11679_7#74,20
11679_7#75,11
11679_7#76,21
11679_7#77,9
11679_7#78,22
11679_7#79,20
11679_7#8,19
11679_7#80,20
11679_7#81,1
11679_7#82,10
11679_7#83,3
11679_7#84,3
11679_7#85,19
11679_7#86,19
11679_7#87,19
11679_7#88,4
11679_7#89,21
11679_7#9,5
11679_7#90,3
11679_7#91,18
11679_7#92,9
11679_7#93,19
11679_7#94,20
11679_7#95,2
11679_7#96,16
11679_8#1,19
11679_8#10,20
11679_8#11,19
11679_8#12,16
11679_8#13,23
11679_8#14,18
11679_8#15,2
11679_8#16,18
11679_8#17,16
11679_8#18,20
11679_8#19,5
11679_8#2,3
11679_8#20,21
11679_8#21,20
11679_8#22,23
11679_8#23,21
11679_8#24,22
11679_8#25,14
11679_8#26,13
11679_8#27,16
11679_8#28,1
11679_8#29,1
11679_8#3,21
11679_8#30,17
11679_8#31,23
11679_8#32,15
11679_8#33,13
11679_8#34,12
11679_8#35,3
11679_8#36,3
11679_8#37,18
11679_8#38,20
11679_8#39,20
11679_8#4,23
11679_8#40,7
11679_8#41,20
11679_8#42,20
11679_8#43,3
11679_8#44,4
11679_8#45,18
11679_8#46,20
11679_8#47,3
11679_8#48,3
11679_8#49,13
11679_8#5,5
11679_8#50,3
11679_8#52,2
11679_8#53,21
11679_8#54,2
11679_8#55,4
11679_8#56,12
11679_8#57,19
11679_8#58,3
11679_8#59,24
11679_8#6,19
11679_8#60,18
11679_8#61,23
11679_8#62,22
11679_8#63,13
11679_8#64,9
11679_8#65,10
11679_8#66,3
11679_8#67,16
11679_8#68,3
11679_8#69,3
11679_8#7,18
11679_8#70,19
11679_8#71,2
11679_8#72,22
11679_8#73,11
11679_8#74,19
11679_8#75,13
11679_8#76,3
11679_8#77,6
11679_8#78,20
11679_8#79,3
11679_8#8,22
11679_8#80,13
11679_8#81,23
11679_8#82,18
11679_8#83,20
11679_8#84,19
11679_8#85,19
11679_8#86,19
11679_8#87,19
11679_8#88,16
11679_8#89,1
11679_8#9,18
11679_8#90,22
11679_8#91,14
11679_8#92,24
11679_8#93,14
11679_8#94,1
11679_8#95,5
11679_8#96,20
11791_3#1,16
11791_3#10,21
11791_3#11,21
11791_3#12,20
11791_3#13,2
11791_3#14,13
11791_3#15,2
11791_3#16,3
11791_3#17,23
11791_3#18,14
11791_3#19,3
11791_3#2,3
11791_3#20,16
11791_3#21,20
11791_3#22,12
11791_3#23,12
11791_3#24,20
11791_3#25,23
11791_3#26,19
11791_3#27,6
11791_3#28,13
11791_3#29,23
11791_3#3,24
11791_3#30,16
11791_3#31,22
11791_3#32,19
11791_3#33,6
11791_3#34,20
11791_3#35,1
11791_3#36,20
11791_3#37,17
11791_3#38,18
11791_3#39,12
11791_3#4,22
11791_3#40,20
11791_3#41,12
11791_3#42,20
11791_3#43,19
11791_3#44,3
11791_3#45,2
11791_3#46,23
11791_3#47,22
11791_3#48,20
11791_3#49,19
11791_3#5,16
11791_3#50,2
11791_3#51,2
11791_3#52,11
11791_3#53,10
11791_3#54,3
11791_3#55,2
11791_3#56,6
11791_3#57,16
11791_3#58,19
11791_3#59,22
11791_3#6,13
11791_3#60,17
11791_3#61,2
11791_3#62,19
11791_3#63,7
11791_3#64,24
11791_3#65,3
11791_3#66,3
11791_3#67,2
11791_3#68,13
11791_3#69,19
11791_3#7,20
11791_3#70,9
11791_3#71,23
11791_3#72,13
11791_3#73,18
11791_3#74,18
11791_3#75,20
11791_3#76,14
11791_3#77,20
11791_3#78,16
11791_3#79,23
11791_3#8,18
11791_3#80,3
11791_3#81,19
11791_3#82,1
11791_3#83,7
11791_3#84,17
11791_3#85,2
11791_3#86,18
11791_3#87,13
11791_3#88,2
11791_3#89,20
11791_3#9,2
11791_3#90,13
11791_3#91,6
11791_3#92,19
11791_3#93,1
11791_3#94,3
11791_3#95,14
11791_3#96,16
11791_6#1,19
11791_6#10,20
11791_6#11,19
11791_6#12,23
11791_6#13,16
11791_6#14,9
11791_6#15,20
11791_6#16,8
11791_6#17,14
11791_6#18,4
11791_6#19,5
11791_6#2,3
11791_6#20,18
11791_6#21,18
11791_6#22,20
11791_6#23,20
11791_6#24,19
11791_6#25,19
11791_6#26,18
11791_6#27,7
11791_6#28,16
11791_6#29,5
11791_6#3,3
11791_6#30,19
11791_6#32,19
11791_6#33,7
11791_6#34,17
11791_6#35,5
11791_6#36,18
11791_6#37,19
11791_6#38,5
11791_6#39,20
11791_6#4,18
11791_6#5,20
11791_6#6,1
11791_6#7,19
11791_6#9,19
11791_7#1,20
11791_7#10,21
11791_7#11,18
11791_7#12,20
11791_7#13,20
11791_7#14,20
11791_7#15,18
11791_7#16,2
11791_7#17,1
11791_7#18,18
11791_7#19,20
11791_7#2,19
11791_7#20,18
11791_7#21,19
11791_7#22,20
11791_7#23,18
11791_7#24,18
11791_7#25,20
11791_7#26,5
11791_7#27,23
11791_7#28,20
11791_7#29,4
11791_7#3,4
11791_7#30,2
11791_7#32,22
11791_7#33,18
11791_7#34,20
11791_7#35,18
11791_7#36,3
11791_7#37,2
11791_7#38,18
11791_7#39,1
11791_7#4,20
11791_7#40,20
11791_7#41,20
11791_7#42,2
11791_7#44,20
11791_7#45,19
11791_7#46,17
11791_7#47,7
11791_7#48,20
11791_7#49,19
11791_7#5,19
11791_7#50,19
11791_7#51,15
11791_7#52,7
11791_7#53,3
11791_7#54,14
11791_7#55,19
11791_7#56,20
11791_7#57,12
11791_7#58,23
11791_7#59,19
11791_7#6,24
11791_7#60,19
11791_7#61,20
11791_7#62,20
11791_7#63,20
11791_7#64,20
11791_7#65,20
11791_7#66,1
11791_7#67,16
11791_7#68,23
11791_7#69,10
11791_7#7,19
11791_7#70,21
11791_7#9,24
11893_8#71,13
12045_3#57,18
12045_3#58,3
12045_3#59,7
12045_3#60,20
12045_3#61,1
12045_3#62,15
12045_3#63,20
12045_3#64,16
12045_3#65,22
12045_3#66,18
12045_3#67,20
