"Isolate","level 1","level 2"
"11657_7#69",4,16
"11657_7#7",3,12
"11657_7#70",3,11
"11657_7#71",4,16
"11657_7#72",12,58
"11657_7#73",3,11
"11657_7#74",4,14
"11657_7#75",13,61
"11657_7#76",4,15
"11657_7#77",3,13
"11657_7#78",3,11
"11657_7#79",14,63
"11657_7#8",6,26
"11657_7#80",19,80
"11657_7#81",16,69
"11657_7#82",11,54
"11657_7#83",12,57
"11657_7#84",12,56
"11657_7#85",2,8
"11657_7#86",6,28
"11657_7#87",23,94
"11657_7#88",6,26
"11657_7#89",3,11
"11657_7#9",2,8
"11657_7#90",6,25
"11657_7#91",2,7
"11657_7#92",20,84
"11657_7#93",12,57
"11657_7#94",7,36
"11657_7#95",3,11
"11657_7#96",4,16
"11658_3#1",14,63
"11658_3#10",9,44
"11658_3#11",1,1
"11658_3#12",1,1
"11658_3#13",17,72
"11658_3#14",1,3
"11658_3#19",18,79
"11658_3#2",17,74
"11658_3#20",6,29
"11658_3#21",8,38
"11658_3#22",1,1
"11658_3#23",9,47
"11658_3#24",23,95
"11658_3#25",21,88
"11658_3#26",4,14
"11658_3#27",4,15
"11658_3#28",10,52
"11658_3#29",4,16
"11658_3#3",5,21
"11658_3#30",6,26
"11658_3#31",3,13
"11658_3#32",4,15
"11658_3#33",19,81
"11658_3#34",6,32
"11658_3#35",4,16
"11658_3#36",3,11
"11658_3#37",12,57
"11658_3#38",3,11
"11658_3#39",4,16
"11658_3#4",3,11
"11658_3#40",19,80
"11658_3#41",3,11
"11658_3#42",3,11
"11658_3#43",6,29
"11658_3#44",24,98
"11658_3#45",7,34
"11658_3#46",4,15
"11658_3#47",4,15
"11658_3#48",14,63
"11658_3#49",5,22
"11658_3#5",4,16
"11658_3#50",2,8
"11658_3#51",11,55
"11658_3#52",6,28
"11658_3#53",12,56
"11658_3#54",12,58
"11658_3#55",3,11
"11658_3#56",3,11
"11658_3#57",4,16
"11658_3#58",13,61
"11658_3#59",7,36
"11658_3#6",2,7
"11658_3#60",14,66
"11658_3#61",24,99
"11658_3#62",12,57
"11658_3#64",4,15
"11658_3#65",13,61
"11658_3#66",4,16
"11658_3#67",4,17
"11658_3#68",5,21
"11658_3#69",5,23
"11658_3#7",15,68
"11658_3#70",3,13
"11658_3#71",4,16
"11658_3#72",5,22
"11658_3#73",8,40
"11658_3#74",3,11
"11658_3#75",4,16
"11658_3#76",8,38
"11658_3#77",14,63
"11658_3#78",10,51
"11658_3#79",4,16
"11658_3#8",3,13
"11658_3#80",12,58
"11658_3#81",4,16
"11658_3#82",4,16
"11658_3#83",4,17
"11658_3#84",1,1
"11658_3#85",4,15
"11658_3#86",3,11
"11658_3#87",5,21
"11658_3#88",9,43
"11658_3#89",5,23
"11658_3#9",5,24
"11658_3#90",5,21
"11658_3#91",6,30
"11658_3#92",18,78
"11658_3#93",4,15
"11658_3#94",3,11
"11658_3#95",4,16
"11658_3#96",6,26
"11658_4#10",19,80
"11658_4#11",5,21
"11658_4#12",5,21
"11658_4#13",21,88
"11658_4#14",15,67
"11658_4#15",6,25
"11658_4#16",6,33
"11658_4#17",22,90
"11658_4#18",3,11
"11658_4#19",4,16
"11658_4#2",19,80
"11658_4#20",6,25
"11658_4#21",2,6
"11658_4#22",3,12
"11658_4#23",2,7
"11658_4#24",6,26
"11658_4#25",6,26
"11658_4#26",2,6
"11658_4#27",1,1
"11658_4#28",1,1
"11658_4#29",4,16
"11658_4#3",5,21
"11658_4#30",13,61
"11658_4#31",4,15
"11658_4#32",8,38
"11658_4#33",2,6
"11658_4#34",6,26
"11658_4#35",13,61
"11658_4#36",4,18
"11658_4#37",6,28
"11658_4#38",19,80
"11658_4#39",8,38
"11658_4#4",7,35
"11658_4#40",4,16
"11658_4#41",4,17
"11658_4#42",23,94
"11658_4#43",3,13
"11658_4#44",6,26
"11658_4#45",4,15
"11658_4#46",13,61
"11658_4#47",1,3
"11658_4#48",3,13
"11658_4#49",6,27
"11658_4#5",6,32
"11658_4#50",4,16
"11658_4#51",24,100
"11658_4#52",10,52
"11658_4#53",4,15
"11658_4#54",4,15
"11658_4#55",9,46
"11658_4#56",2,7
"11658_4#57",3,13
"11658_4#58",6,28
"11658_4#59",4,16
"11658_4#6",9,46
"11658_4#60",3,13
"11658_4#61",3,11
"11658_4#62",6,28
"11658_4#63",16,69
"11658_4#64",6,28
"11658_4#65",3,11
"11658_4#66",3,11
"11658_4#67",16,70
"11658_4#68",17,72
"11658_4#69",6,25
"11658_4#7",3,13
"11658_4#70",5,24
"11658_4#71",23,94
"11658_4#72",20,84
"11658_4#73",22,91
"11658_4#74",3,11
"11658_4#75",18,78
"11658_4#76",7,34
"11658_4#77",3,11
"11658_4#78",1,1
"11658_4#79",4,16
"11658_4#8",4,16
"11658_4#80",3,11
"11658_4#81",3,11
"11658_4#82",12,58
"11658_4#83",18,77
"11658_4#84",24,99
"11658_4#85",3,11
"11658_4#86",15,67
"11658_4#87",20,85
"11658_4#88",21,88
"11658_4#89",9,44
"11658_4#9",2,7
"11658_4#90",4,15
"11658_4#91",6,25
"11658_4#92",13,61
"11658_4#93",1,3
"11658_4#94",22,91
"11658_4#95",4,16
"11658_4#96",4,16
"11658_5#1",1,1
"11658_5#10",5,24
"11658_5#11",3,11
"11658_5#12",4,15
"11658_5#13",5,22
"11658_5#14",3,11
"11658_5#15",4,16
"11658_5#16",4,16
"11658_5#17",8,38
"11658_5#18",1,3
"11658_5#19",3,11
"11658_5#2",3,11
"11658_5#20",4,16
"11658_5#21",19,80
"11658_5#22",13,61
"11658_5#23",4,16
"11658_5#25",18,78
"11658_5#26",3,11
"11658_5#27",4,16
"11658_5#28",3,11
"11658_5#29",4,15
"11658_5#3",17,72
"11658_5#30",6,26
"11658_5#31",12,60
"11658_5#32",3,11
"11658_5#33",6,29
"11658_5#34",18,79
"11658_5#35",11,55
"11658_5#36",4,15
"11658_5#37",9,44
"11658_5#38",13,61
"11658_5#4",20,85
"11658_5#40",23,94
"11658_5#41",3,11
"11658_5#42",3,12
"11658_5#43",24,100
"11658_5#44",3,11
"11658_5#45",2,9
"11658_5#46",12,57
"11658_5#47",6,28
"11658_5#49",5,21
"11658_5#5",3,11
"11658_5#50",3,12
"11658_5#51",19,80
"11658_5#52",20,84
"11658_5#53",3,13
"11658_5#54",9,47
"11658_5#55",19,82
"11658_5#56",5,21
"11658_5#57",3,13
"11658_5#58",9,44
"11658_5#59",18,77
"11658_5#6",6,26
"11658_5#60",19,80
"11658_5#61",6,27
"11658_5#62",12,59
"11658_5#63",2,8
"11658_5#64",7,35
"11658_5#65",14,64
"11658_5#66",3,11
"11658_5#67",12,57
"11658_5#68",4,16
"11658_5#69",19,80
"11658_5#7",12,58
"11658_5#70",11,54
"11658_5#71",8,40
"11658_5#72",6,32
"11658_5#73",4,16
"11658_5#74",12,57
"11658_5#75",6,25
"11658_5#76",4,17
"11658_5#77",13,61
"11658_5#78",10,51
"11658_5#79",4,17
"11658_5#8",22,92
"11658_5#80",5,21
"11658_5#81",18,77
"11658_5#82",4,16
"11658_5#83",12,57
"11658_5#84",6,27
"11658_5#85",6,26
"11658_5#86",23,96
"11658_5#87",3,11
"11658_5#88",8,38
"11658_5#89",6,25
"11658_5#9",23,93
"11658_5#90",6,28
"11658_5#91",6,25
"11658_5#92",16,69
"11658_5#93",5,21
"11658_5#94",5,22
"11658_5#95",24,100
"11658_5#96",12,59
"11658_6#1",6,26
"11658_6#10",3,11
"11658_6#11",23,94
"11658_6#12",15,67
"11658_6#13",3,11
"11658_6#14",7,36
"11658_6#15",20,86
"11658_6#16",23,94
"11658_6#17",5,21
"11658_6#18",11,55
"11658_6#19",5,21
"11658_6#2",4,18
"11658_6#20",8,38
"11658_6#21",8,38
"11658_6#22",3,12
"11658_6#23",5,22
"11658_6#24",16,70
"11658_6#25",4,17
"11658_6#26",6,26
"11658_6#27",12,60
"11658_6#28",19,80
"11658_6#29",14,63
"11658_6#3",19,80
"11658_6#30",9,43
"11658_6#31",14,63
"11658_6#32",5,21
"11658_6#33",4,16
"11658_6#34",3,11
"11658_6#35",8,38
"11658_6#36",7,34
"11658_6#37",11,54
"11658_6#38",9,43
"11658_6#39",3,11
"11658_6#4",4,16
"11658_6#40",6,26
"11658_6#41",3,11
"11658_6#42",5,24
"11658_6#43",3,11
"11658_6#44",12,58
"11658_6#45",12,60
"11658_6#47",5,21
"11658_6#48",15,67
"11658_6#49",10,51
"11658_6#5",4,17
"11658_6#50",4,15
"11658_6#51",4,16
"11658_6#52",2,6
"11658_6#53",3,12
"11658_6#54",4,16
"11658_6#55",12,57
"11658_6#56",6,31
"11658_6#57",4,18
"11658_6#58",2,7
"11658_6#59",12,57
"11658_6#6",11,54
"11658_6#60",12,58
"11658_6#61",13,61
"11658_6#62",4,16
"11658_6#63",3,13
"11658_6#64",3,11
"11658_6#65",4,15
"11658_6#66",11,54
"11658_6#67",6,32
"11658_6#68",8,40
"11658_6#69",12,58
"11658_6#7",2,7
"11658_6#70",13,61
"11658_6#71",12,57
"11658_6#72",9,43
"11658_6#73",3,11
"11658_6#74",4,16
"11658_6#75",15,68
"11658_6#76",23,94
"11658_6#77",14,65
"11658_6#78",13,61
"11658_6#79",14,63
"11658_6#8",4,15
"11658_6#80",6,26
"11658_6#81",3,11
"11658_6#82",3,11
"11658_6#83",6,26
"11658_6#84",18,77
"11658_6#85",23,97
"11658_6#86",6,28
"11658_6#87",7,37
"11658_6#88",3,11
"11658_6#89",4,16
"11658_6#9",4,16
"11658_6#90",4,16
"11658_6#91",3,11
"11658_6#92",3,13
"11658_6#93",8,38
"11658_6#94",4,17
"11658_6#95",4,16
"11658_6#96",2,7
"11658_7#1",6,26
"11658_7#10",16,69
"11658_7#11",8,38
"11658_7#13",20,85
"11658_7#14",12,60
"11658_7#15",3,11
"11658_7#16",3,11
"11658_7#17",3,13
"11658_7#18",6,28
"11658_7#19",4,15
"11658_7#2",23,96
"11658_7#20",14,66
"11658_7#21",11,55
"11658_7#22",4,16
"11658_7#23",3,11
"11658_7#24",21,88
"11658_7#25",2,7
"11658_7#26",3,11
"11658_7#27",6,25
"11658_7#28",7,34
"11658_7#29",6,29
"11658_7#3",5,21
"11658_7#30",3,11
"11658_7#31",13,61
"11658_7#32",2,6
"11658_7#33",3,11
"11658_7#34",5,24
"11658_7#35",4,17
"11658_7#36",4,15
"11658_7#39",6,27
"11658_7#4",16,70
"11658_7#40",2,10
"11658_7#41",1,1
"11658_7#42",6,26
"11658_7#43",1,2
"11658_7#44",14,63
"11658_7#45",21,88
"11658_7#46",12,58
"11658_7#47",4,15
"11658_7#48",6,28
"11658_7#49",6,26
"11658_7#5",4,16
"11658_7#50",4,15
"11658_7#51",2,7
"11658_7#52",3,11
"11658_7#53",17,72
"11658_7#54",19,80
"11658_7#55",4,16
"11658_7#56",19,80
"11658_7#57",3,13
"11658_7#58",4,17
"11658_7#59",23,96
"11658_7#6",5,21
"11658_7#60",23,94
"11658_7#62",4,17
"11658_7#63",12,60
"11658_7#64",3,11
"11658_7#65",3,11
"11658_7#66",23,95
"11658_7#67",3,11
"11658_7#68",6,32
"11658_7#69",11,54
"11658_7#7",3,11
"11658_7#70",6,26
"11658_7#71",3,11
"11658_7#72",1,1
"11658_7#73",6,28
"11658_7#74",7,34
"11658_7#75",15,67
"11658_7#76",5,24
"11658_7#77",12,57
"11658_7#78",3,11
"11658_7#79",8,38
"11658_7#8",3,11
"11658_7#80",10,51
"11658_7#81",6,28
"11658_7#82",4,16
"11658_7#83",20,85
"11658_7#84",6,25
"11658_7#85",1,4
"11658_7#86",3,11
"11658_7#87",4,15
"11658_7#88",6,27
"11658_7#89",6,25
"11658_7#9",4,16
"11658_7#90",3,11
"11658_7#91",2,6
"11658_7#92",4,15
"11658_7#93",3,11
"11658_7#94",7,34
"11658_7#95",4,18
"11658_7#96",1,5
"11658_8#24",12,59
"11658_8#25",14,63
"11658_8#26",5,21
"11658_8#27",3,11
"11658_8#28",4,15
"11658_8#29",7,34
"11658_8#30",17,72
"11658_8#31",4,14
"11658_8#32",16,69
"11658_8#33",10,53
"11658_8#34",4,16
"11658_8#35",4,16
"11658_8#36",19,80
"11658_8#37",6,28
"11658_8#38",4,16
"11658_8#39",13,61
"11658_8#40",14,63
"11658_8#41",6,25
"11658_8#42",14,64
"11658_8#43",4,17
"11658_8#44",14,65
"11658_8#45",20,83
"11658_8#46",6,29
"11658_8#47",6,26
"11658_8#48",6,31
"11658_8#49",14,66
"11658_8#50",10,52
"11658_8#51",16,69
"11658_8#52",10,51
"11658_8#53",8,38
"11658_8#54",6,28
"11658_8#55",3,11
"11658_8#56",12,57
"11658_8#57",5,21
"11658_8#58",9,47
"11658_8#59",4,17
"11658_8#60",21,88
"11658_8#61",4,15
"11658_8#62",4,15
"11658_8#63",4,16
"11658_8#64",3,11
"11658_8#65",6,31
"11658_8#66",10,52
"11658_8#67",10,52
"11658_8#68",1,1
"11658_8#69",6,26
"11658_8#70",22,91
"11658_8#71",2,6
"11658_8#72",6,33
"11658_8#73",6,30
"11658_8#74",15,67
"11658_8#75",5,21
"11658_8#76",4,16
"11658_8#77",2,9
"11658_8#78",3,11
"11658_8#79",13,61
"11658_8#80",22,91
"11658_8#81",21,88
"11658_8#82",20,85
"11658_8#83",4,17
"11658_8#84",3,11
"11658_8#85",3,11
"11658_8#86",6,25
"11658_8#87",4,17
"11658_8#88",14,63
"11658_8#89",4,16
"11658_8#90",14,64
"11658_8#91",6,29
"11658_8#92",3,11
"11658_8#93",3,11
"11658_8#94",10,52
"11658_8#95",12,60
"11658_8#96",1,1
"11679_4#1",17,72
"11679_4#10",1,3
"11679_4#11",6,28
"11679_4#12",4,16
"11679_4#13",10,51
"11679_4#14",8,39
"11679_4#15",6,28
"11679_4#16",4,15
"11679_4#17",14,63
"11679_4#18",8,39
"11679_4#19",14,64
"11679_4#2",4,16
"11679_4#20",16,70
"11679_4#21",6,30
"11679_4#22",23,93
"11679_4#23",13,61
"11679_4#24",15,68
"11679_4#25",4,15
"11679_4#26",4,15
"11679_4#27",13,61
"11679_4#28",19,80
"11679_4#29",6,30
"11679_4#3",4,16
"11679_4#30",8,39
"11679_4#31",9,45
"11679_4#32",3,11
"11679_4#33",15,67
"11679_4#34",17,72
"11679_4#35",3,11
"11679_4#36",6,29
"11679_4#37",8,38
"11679_4#38",4,16
"11679_4#39",3,11
"11679_4#4",3,11
"11679_4#40",3,11
"11679_4#41",4,17
"11679_4#42",4,16
"11679_4#43",19,80
"11679_4#44",3,12
"11679_4#45",6,26
"11679_4#46",12,57
"11679_4#47",9,43
"11679_4#48",6,26
"11679_4#49",4,16
"11679_4#5",6,29
"11679_4#50",13,61
"11679_4#52",3,11
"11679_4#53",3,11
"11679_4#54",3,11
"11679_4#55",4,16
"11679_4#56",3,11
"11679_4#57",4,15
"11679_4#58",3,13
"11679_4#59",23,94
"11679_4#6",24,100
"11679_4#60",6,26
"11679_4#61",16,70
"11679_4#62",3,13
"11679_4#63",6,26
"11679_4#64",13,61
"11679_4#65",5,22
"11679_4#66",3,11
"11679_4#67",18,77
"11679_4#68",11,54
"11679_4#69",4,14
"11679_4#7",4,16
"11679_4#70",19,80
"11679_4#71",4,15
"11679_4#72",6,25
"11679_4#73",5,21
"11679_4#74",11,54
"11679_4#75",4,16
"11679_4#76",2,7
"11679_4#77",6,29
"11679_4#78",22,90
"11679_4#79",12,58
"11679_4#8",3,11
"11679_4#80",19,80
"11679_4#81",14,64
"11679_4#82",4,16
"11679_4#83",4,16
"11679_4#84",9,46
"11679_4#85",4,16
"11679_4#86",4,17
"11679_4#87",5,21
"11679_4#88",6,26
"11679_4#89",3,11
"11679_4#9",4,16
"11679_4#90",6,32
"11679_4#91",3,11
"11679_4#92",3,11
"11679_4#93",18,77
"11679_4#94",4,15
"11679_4#95",3,11
"11679_4#96",4,16
"11679_5#1",18,77
"11679_5#10",2,7
"11679_5#11",4,16
"11679_5#12",3,13
"11679_5#13",12,60
"11679_5#14",19,80
"11679_5#15",4,17
"11679_5#16",1,1
"11679_5#17",4,16
"11679_5#18",4,16
"11679_5#19",4,15
"11679_5#2",3,11
"11679_5#20",24,99
"11679_5#21",12,56
"11679_5#22",15,67
"11679_5#23",15,68
"11679_5#24",22,91
"11679_5#25",11,54
"11679_5#26",4,15
"11679_5#27",12,57
"11679_5#28",12,60
"11679_5#29",6,26
"11679_5#3",6,25
"11679_5#30",1,3
"11679_5#31",4,14
"11679_5#32",4,16
"11679_5#33",3,11
"11679_5#34",5,22
"11679_5#35",2,7
"11679_5#36",23,95
"11679_5#37",6,32
"11679_5#38",6,25
"11679_5#39",6,26
"11679_5#4",5,21
"11679_5#40",9,46
"11679_5#41",24,100
"11679_5#42",1,1
"11679_5#43",16,69
"11679_5#44",3,11
"11679_5#45",9,44
"11679_5#46",14,63
"11679_5#47",4,15
"11679_5#48",2,7
"11679_5#49",10,51
"11679_5#5",4,17
"11679_5#50",24,100
"11679_5#51",1,1
"11679_5#52",5,21
"11679_5#53",1,1
"11679_5#54",1,1
"11679_5#55",6,26
"11679_5#56",2,7
"11679_5#57",3,12
"11679_5#58",5,22
"11679_5#59",2,7
"11679_5#6",24,100
"11679_5#60",19,80
"11679_5#61",23,96
"11679_5#62",1,3
"11679_5#63",22,92
"11679_5#64",4,16
"11679_5#65",4,16
"11679_5#66",5,21
"11679_5#67",21,88
"11679_5#68",23,95
"11679_5#69",15,67
"11679_5#7",9,48
"11679_5#70",12,58
"11679_5#71",24,100
"11679_5#72",11,55
"11679_5#73",8,38
"11679_5#74",22,92
"11679_5#75",19,80
"11679_5#76",5,21
"11679_5#77",3,13
"11679_5#78",23,94
"11679_5#79",24,101
"11679_5#8",14,63
"11679_5#80",3,11
"11679_5#81",4,16
"11679_5#82",4,17
"11679_5#83",6,26
"11679_5#84",6,29
"11679_5#85",15,67
"11679_5#86",6,31
"11679_5#87",10,50
"11679_5#88",19,80
"11679_5#89",14,64
"11679_5#9",6,26
"11679_5#90",3,13
"11679_5#91",6,32
"11679_5#92",13,61
"11679_5#93",5,21
"11679_5#94",3,11
"11679_5#95",5,21
"11679_5#96",6,25
"11679_6#1",4,16
"11679_6#10",5,21
"11679_6#11",12,58
"11679_6#12",4,15
"11679_6#13",9,44
"11679_6#14",8,41
"11679_6#15",23,96
"11679_6#18",4,16
"11679_6#19",17,75
"11679_6#2",7,34
"11679_6#20",12,58
"11679_6#21",20,87
"11679_6#22",4,16
"11679_6#23",4,16
"11679_6#24",17,76
"11679_6#25",23,94
"11679_6#26",6,32
"11679_6#27",6,32
"11679_6#28",4,18
"11679_6#29",6,28
"11679_6#3",6,27
"11679_6#30",3,12
"11679_6#31",14,63
"11679_6#32",4,17
"11679_6#33",14,63
"11679_6#34",4,16
"11679_6#35",16,69
"11679_6#36",6,26
"11679_6#37",1,1
"11679_6#38",4,16
"11679_6#39",4,15
"11679_6#4",5,21
"11679_6#40",6,26
"11679_6#41",9,47
"11679_6#42",6,26
"11679_6#43",4,16
"11679_6#44",6,28
"11679_6#45",3,13
"11679_6#46",10,52
"11679_6#47",2,7
"11679_6#48",1,3
"11679_6#49",3,13
"11679_6#5",7,37
"11679_6#50",6,28
"11679_6#51",22,91
"11679_6#52",5,22
"11679_6#53",12,60
"11679_6#54",6,27
"11679_6#55",4,16
"11679_6#56",8,38
"11679_6#57",7,36
"11679_6#58",1,1
"11679_6#59",3,11
"11679_6#60",6,28
"11679_6#61",4,16
"11679_6#62",20,86
"11679_6#63",8,38
"11679_6#64",23,96
"11679_6#65",6,26
"11679_6#66",20,83
"11679_6#67",4,15
"11679_6#68",17,72
"11679_6#69",6,28
"11679_6#7",3,12
"11679_6#70",5,21
"11679_6#71",2,9
"11679_6#72",23,93
"11679_6#73",2,6
"11679_6#74",6,32
"11679_6#75",5,22
"11679_6#76",19,80
"11679_6#77",19,80
"11679_6#78",9,47
"11679_6#79",5,21
"11679_6#8",12,57
"11679_6#80",23,95
"11679_6#81",4,16
"11679_6#82",5,22
"11679_6#83",16,70
"11679_6#84",4,17
"11679_6#85",4,17
"11679_6#86",12,60
"11679_6#87",9,44
"11679_6#88",19,82
"11679_6#89",22,92
"11679_6#9",5,21
"11679_6#90",5,21
"11679_6#91",15,67
"11679_6#92",1,1
"11679_6#93",3,11
"11679_6#94",3,11
"11679_6#95",3,11
"11679_6#96",14,63
"11679_7#1",6,29
"11679_7#10",9,44
"11679_7#11",4,17
"11679_7#12",3,12
"11679_7#13",18,77
"11679_7#14",16,70
"11679_7#15",8,38
"11679_7#16",6,26
"11679_7#17",18,78
"11679_7#18",14,63
"11679_7#19",19,80
"11679_7#2",14,66
"11679_7#20",17,72
"11679_7#21",4,17
"11679_7#22",4,15
"11679_7#23",20,83
"11679_7#24",16,70
"11679_7#26",3,11
"11679_7#27",24,100
"11679_7#28",24,99
"11679_7#29",23,93
"11679_7#30",19,80
"11679_7#31",9,44
"11679_7#32",5,22
"11679_7#34",8,38
"11679_7#35",6,32
"11679_7#36",4,20
"11679_7#37",5,21
"11679_7#38",14,64
"11679_7#39",7,35
"11679_7#4",14,63
"11679_7#40",6,26
"11679_7#41",13,61
"11679_7#42",3,11
"11679_7#43",10,51
"11679_7#44",3,11
"11679_7#45",10,52
"11679_7#46",6,32
"11679_7#47",4,15
"11679_7#48",6,31
"11679_7#49",13,62
"11679_7#5",3,11
"11679_7#50",4,16
"11679_7#51",12,60
"11679_7#52",12,58
"11679_7#53",17,72
"11679_7#54",3,11
"11679_7#55",6,27
"11679_7#56",2,6
"11679_7#57",6,25
"11679_7#58",3,11
"11679_7#59",4,15
"11679_7#6",6,28
"11679_7#60",4,16
"11679_7#61",17,72
